scenario,condition_name,run_id,run_label,run_path,trial_index,window_label,eventual_success,first_attempt_success,attempts,corrected_attempts,duration_seconds,runtime_ms,avg_cpu_percent,max_cpu_percent,avg_rss_mb,max_rss_mb,avg_heap_used_mb,max_heap_used_mb,avg_gpu_util_percent,max_gpu_util_percent,avg_vram_used_mb,max_vram_used_mb,sample_count
key,baseline_raw,key-2026-04-02T04-21-15-789Z,key_baseline_raw_001,runs/key/raw/key-2026-04-02T04-21-15-789Z,1,1-25,true,true,1,,6.089,6088,1.215,5.809,226.225,274.793,81.808,92.714,31.429,44,4207.714,4208,7
key,baseline_raw,key-2026-04-02T04-21-46-522Z,key_baseline_raw_002,runs/key/raw/key-2026-04-02T04-21-46-522Z,2,1-25,true,true,1,,16.894,16893,0.424,5.367,232.028,276.805,82.157,90.549,31,57,4208.333,4211,18
key,baseline_raw,key-2026-04-02T04-22-27-991Z,key_baseline_raw_003,runs/key/raw/key-2026-04-02T04-22-27-991Z,3,1-25,true,true,1,,12.649,12647,0.739,5.57,230.63,275.871,85.206,90.62,29.357,38,4208,4208,14
key,baseline_raw,key-2026-04-02T04-23-05-047Z,key_baseline_raw_004,runs/key/raw/key-2026-04-02T04-23-05-047Z,4,1-25,true,true,1,,6.075,6074,0.872,4.293,226.469,276.145,83.463,93.642,30.429,41,4208,4208,7
key,baseline_raw,key-2026-04-02T04-23-35-756Z,key_baseline_raw_005,runs/key/raw/key-2026-04-02T04-23-35-756Z,5,1-25,true,true,1,,7.186,7185,0.684,3.629,228.83,276.785,84.593,92.61,34.222,42,4208,4208,9
key,baseline_raw,key-2026-04-02T04-24-07-599Z,key_baseline_raw_006,runs/key/raw/key-2026-04-02T04-24-07-599Z,6,1-25,true,false,2,,19.489,19488,0.588,5.893,234.66,279.785,85.452,94.882,28.762,37,4208.143,4211,21
key,baseline_raw,key-2026-04-02T04-24-51-747Z,key_baseline_raw_007,runs/key/raw/key-2026-04-02T04-24-51-747Z,7,1-25,true,false,2,,12.628,12616,1.188,5.923,231.929,279.934,84.317,93.399,31,52,4208.214,4211,14
key,baseline_raw,key-2026-04-02T04-25-28-985Z,key_baseline_raw_008,runs/key/raw/key-2026-04-02T04-25-28-985Z,8,1-25,true,true,1,,5.747,5746,1.269,5.736,228.302,278.352,84.333,89.848,28.714,31,4208.429,4211,7
key,baseline_raw,key-2026-04-02T04-25-59-439Z,key_baseline_raw_009,runs/key/raw/key-2026-04-02T04-25-59-439Z,9,1-25,true,true,1,,14.335,14323,0.528,3.543,232.124,277.676,84.149,91.072,35.5,53,4208.188,4211,16
key,baseline_raw,key-2026-04-02T04-26-38-365Z,key_baseline_raw_010,runs/key/raw/key-2026-04-02T04-26-38-365Z,10,1-25,true,false,2,,22.725,22713,0.668,6.537,232.983,276.832,84.35,90.123,31.667,44,4208,4208,24
key,baseline_raw,key-2026-04-02T04-27-25-744Z,key_baseline_raw_011,runs/key/raw/key-2026-04-02T04-27-25-744Z,11,1-25,true,false,6,,42.197,42186,0.845,4.818,239.156,281.719,86.781,96.135,27.581,39,4208.279,4211,43
