scenario,condition_name,trial_index,run_label,eventual_success,first_attempt_success,attempts,corrected_attempts,runtime_ms,attempt_value,rolling_attempts,runtime_ms_value,rolling_runtime_ms,cumulative_success_rate,cumulative_first_attempt_rate
key,baseline_raw,1,key_baseline_raw_001,True,True,1,,6138,1,1.0,6138,6138.0,1.0,1.0
key,baseline_raw,2,key_baseline_raw_002,True,False,2,,25913,2,1.5,25913,16025.5,1.0,0.5
key,baseline_raw,3,key_baseline_raw_003,True,True,1,,6388,1,1.3333333333333333,6388,12813.0,1.0,0.6666666666666666
key,baseline_raw,4,key_baseline_raw_004,True,True,1,,6290,1,1.3333333333333333,6290,12863.666666666666,1.0,0.75
key,baseline_raw,5,key_baseline_raw_005,True,False,2,,27885,2,1.3333333333333333,27885,13521.0,1.0,0.6
key,baseline_raw,6,key_baseline_raw_006,True,True,1,,5329,1,1.3333333333333333,5329,13168.0,1.0,0.6666666666666666
key,baseline_raw,7,key_baseline_raw_007,True,True,1,,15415,1,1.3333333333333333,15415,16209.666666666666,1.0,0.7142857142857143
key,baseline_raw,8,key_baseline_raw_008,True,True,1,,8498,1,1.0,8498,9747.333333333334,1.0,0.75
key,baseline_raw,9,key_baseline_raw_009,True,True,1,,18823,1,1.0,18823,14245.333333333334,1.0,0.7777777777777778
key,baseline_raw,10,key_baseline_raw_010,True,False,2,,20346,2,1.3333333333333333,20346,15889.0,1.0,0.7
key,baseline_raw,11,key_baseline_raw_011,True,True,1,,14744,1,1.3333333333333333,14744,17971.0,1.0,0.7272727272727273
key,baseline_raw,12,key_baseline_raw_012,True,True,1,,12641,1,1.3333333333333333,12641,15910.333333333334,1.0,0.75
key,baseline_raw,13,key_baseline_raw_013,True,True,1,,5546,1,1.0,5546,10977.0,1.0,0.7692307692307693
key,baseline_raw,14,key_baseline_raw_014,True,True,1,,12825,1,1.0,12825,10337.333333333334,1.0,0.7857142857142857
key,baseline_raw,15,key_baseline_raw_015,True,True,1,,8990,1,1.0,8990,9120.333333333334,1.0,0.8
key,baseline_raw,16,key_baseline_raw_016,True,True,1,,10772,1,1.0,10772,10862.333333333334,1.0,0.8125
key,baseline_raw,17,key_baseline_raw_017,True,False,2,,27438,2,1.3333333333333333,27438,15733.333333333334,1.0,0.7647058823529411
key,baseline_raw,18,key_baseline_raw_018,True,True,1,,13752,1,1.3333333333333333,13752,17320.666666666668,1.0,0.7777777777777778
key,baseline_raw,19,key_baseline_raw_019,True,False,3,,16879,3,2.0,16879,19356.333333333332,1.0,0.7368421052631579
key,baseline_raw,20,key_baseline_raw_020,True,False,2,,22567,2,2.0,22567,17732.666666666668,1.0,0.7
key,baseline_raw,21,key_baseline_raw_021,True,True,1,,7498,1,2.0,7498,15648.0,1.0,0.7142857142857143
key,baseline_raw,22,key_baseline_raw_022,True,True,1,,10813,1,1.3333333333333333,10813,13626.0,1.0,0.7272727272727273
key,baseline_raw,23,key_baseline_raw_023,True,True,1,,17916,1,1.0,17916,12075.666666666666,1.0,0.7391304347826086
key,baseline_raw,24,key_baseline_raw_024,True,False,2,,22896,2,1.3333333333333333,22896,17208.333333333332,1.0,0.7083333333333334
key,baseline_raw,25,key_baseline_raw_025,True,False,6,,89262,6,3.0,89262,43358.0,1.0,0.68
key,raw_memory,1,key_raw_memory_001,True,True,1,,6188,1,1.0,6188,6188.0,1.0,1.0
key,raw_memory,2,key_raw_memory_002,False,False,6,,68405,6,3.5,68405,37296.5,0.5,0.5
key,raw_memory,3,key_raw_memory_003,True,True,1,,6235,1,2.6666666666666665,6235,26942.666666666668,0.6666666666666666,0.6666666666666666
key,raw_memory,4,key_raw_memory_004,True,False,4,,35287,4,3.6666666666666665,35287,36642.333333333336,0.75,0.5
key,raw_memory,5,key_raw_memory_005,True,False,2,,8523,2,2.3333333333333335,8523,16681.666666666668,0.8,0.4
key,raw_memory,6,key_raw_memory_006,True,False,2,,8520,2,2.6666666666666665,8520,17443.333333333332,0.8333333333333334,0.3333333333333333
key,raw_memory,7,key_raw_memory_007,True,False,2,,8645,2,2.0,8645,8562.666666666666,0.8571428571428571,0.2857142857142857
key,raw_memory,8,key_raw_memory_008,True,False,2,,8600,2,2.0,8600,8588.333333333334,0.875,0.25
key,raw_memory,9,key_raw_memory_009,True,False,2,,8568,2,2.0,8568,8604.333333333334,0.8888888888888888,0.2222222222222222
key,raw_memory,10,key_raw_memory_010,True,False,2,,8517,2,2.0,8517,8561.666666666666,0.9,0.2
key,raw_memory,11,key_raw_memory_011,True,False,2,,8573,2,2.0,8573,8552.666666666666,0.9090909090909091,0.18181818181818182
key,raw_memory,12,key_raw_memory_012,True,False,2,,8441,2,2.0,8441,8510.333333333334,0.9166666666666666,0.16666666666666666
key,raw_memory,13,key_raw_memory_013,True,False,2,,8524,2,2.0,8524,8512.666666666666,0.9230769230769231,0.15384615384615385
key,raw_memory,14,key_raw_memory_014,True,False,2,,8549,2,2.0,8549,8504.666666666666,0.9285714285714286,0.14285714285714285
key,raw_memory,15,key_raw_memory_015,True,False,2,,8493,2,2.0,8493,8522.0,0.9333333333333333,0.13333333333333333
key,raw_memory,16,key_raw_memory_016,True,False,2,,8496,2,2.0,8496,8512.666666666666,0.9375,0.125
key,raw_memory,17,key_raw_memory_017,True,False,2,,8484,2,2.0,8484,8491.0,0.9411764705882353,0.11764705882352941
key,raw_memory,18,key_raw_memory_018,True,False,2,,8498,2,2.0,8498,8492.666666666666,0.9444444444444444,0.1111111111111111
key,raw_memory,19,key_raw_memory_019,True,False,2,,8633,2,2.0,8633,8538.333333333334,0.9473684210526315,0.10526315789473684
key,raw_memory,20,key_raw_memory_020,True,False,2,,8528,2,2.0,8528,8553.0,0.95,0.1
key,raw_memory,21,key_raw_memory_021,True,False,2,,8555,2,2.0,8555,8572.0,0.9523809523809523,0.09523809523809523
key,raw_memory,22,key_raw_memory_022,True,False,2,,8553,2,2.0,8553,8545.333333333334,0.9545454545454546,0.09090909090909091
key,raw_memory,23,key_raw_memory_023,True,False,2,,8578,2,2.0,8578,8562.0,0.9565217391304348,0.08695652173913043
key,raw_memory,24,key_raw_memory_024,True,False,2,,8452,2,2.0,8452,8527.666666666666,0.9583333333333334,0.08333333333333333
key,raw_memory,25,key_raw_memory_025,True,False,2,,8474,2,2.0,8474,8501.333333333334,0.96,0.08
