scenario,condition_name,window_label,window_start,window_end,run_count,eventual_success_rate,first_attempt_success_rate,mean_attempts,median_attempts,mean_corrected_attempts,median_corrected_attempts,mean_attempt_value,median_attempt_value,mean_runtime,median_runtime,mean_avg_cpu_percent,mean_avg_rss_mb,mean_avg_gpu_util_percent,mean_avg_vram_used_mb
key,baseline_raw,1-25,1,25,25,1.0,0.68,1.52,1,,,1.52,1,17422.56,13752,0.7027599999999999,209.49968,30.63128,1160.0057599999998
key,baseline_raw,26-50,26,50,25,1.0,0.64,1.48,1,,,1.48,1,13767.32,10917,0.7717199999999999,208.73652,31.08808,1159.9457999999995
key,baseline_raw,51-75,51,75,25,1.0,0.56,1.8,1,,,1.8,1,16943.12,13620,0.74224,210.2284,30.46848,1159.8203999999998
key,baseline_raw,76-100,76,100,25,1.0,0.56,1.84,1,,,1.84,1,18907.56,13817,0.7487199999999998,211.3774,31.520440000000004,1159.7530399999998
key,baseline_raw,101-125,101,125,25,1.0,0.64,1.6,1,,,1.6,1,13816.4,11507,0.8978799999999998,208.76896,31.441,1159.6994
key,baseline_raw,126-150,126,150,25,1.0,0.48,2.24,2,,,2.24,2,22256.0,14799,0.75012,209.50604,30.608079999999998,1159.45052
key,baseline_raw,151-175,151,175,25,1.0,0.76,1.48,1,,,1.48,1,13696.4,10665,0.75688,208.64711999999992,31.17995999999999,1159.9433599999998
key,baseline_raw,176-200,176,200,25,1.0,0.64,1.64,1,,,1.64,1,15092.16,12707,0.8044800000000001,209.10612,30.31064,1159.8584
key,raw_memory,1-25,1,25,25,0.96,0.08,2.16,2,,,2.16,2,11812.76,8524,2.93028,211.49316,30.671000000000003,1160.9255999999998
key,raw_memory,26-50,26,50,25,1.0,0.0,2.0,2,,,2.0,2,8589.2,8592,3.2586800000000005,210.91043999999997,31.764000000000006,1160.656
key,raw_memory,51-75,51,75,25,1.0,0.0,2.0,2,,,2.0,2,8582.76,8578,2.9580000000000006,211.11036,31.488000000000003,1160.7319999999995
key,raw_memory,76-100,76,100,25,1.0,0.0,2.0,2,,,2.0,2,8643.64,8639,2.82824,211.93404,31.280000000000005,1160.8239999999998
key,raw_memory,101-125,101,125,25,1.0,0.0,2.0,2,,,2.0,2,8651.2,8657,2.92524,212.14832,32.487999999999985,1160.7279999999998
key,raw_memory,126-150,126,150,25,1.0,0.0,2.0,2,,,2.0,2,8669.72,8666,2.8710800000000005,212.90688,31.112,1160.6959999999997
key,raw_memory,151-175,151,175,25,1.0,0.0,2.0,2,,,2.0,2,8679.76,8664,2.71676,213.40064000000007,31.94,1160.8959999999995
key,raw_memory,176-200,176,200,25,1.0,0.0,2.0,2,,,2.0,2,8731.72,8748,2.7000800000000003,212.81124,31.452,1161.304
key,distilled_memory,1-25,1,25,25,0.88,0.16,2.32,2,,,2.32,2,19212.48,8336,2.51032,195.87988,30.727680000000007,1170.58652
key,distilled_memory,26-50,26,50,25,1.0,0.0,2.0,2,,,2.0,2,8350.84,8355,3.8127999999999993,194.60904,31.72844,1170.01512
key,distilled_memory,51-75,51,75,25,1.0,0.0,2.0,2,,,2.0,2,8396.88,8381,3.6334399999999993,197.36404,30.891560000000005,1170.16
key,distilled_memory,76-100,76,100,25,1.0,0.0,2.0,2,,,2.0,2,8440.52,8444,3.708560000000001,197.94887999999997,31.147999999999996,1170.272
key,distilled_memory,101-125,101,125,25,1.0,0.0,2.0,2,,,2.0,2,8469.08,8477,3.64072,198.96972,30.16,1170.1799999999998
key,distilled_memory,126-150,126,150,25,1.0,0.0,2.0,2,,,2.0,2,8478.88,8476,3.6706,198.74144,30.088,1170.424
key,distilled_memory,151-175,151,175,25,1.0,0.0,2.0,2,,,2.0,2,8522.96,8523,3.274200000000001,201.11992,30.152000000000008,1170.4359999999997
key,distilled_memory,176-200,176,200,25,1.0,0.0,2.0,2,,,2.0,2,8556.4,8537,3.3516800000000004,201.39984,30.648000000000007,1170.6079999999995
