scenario,condition_name,trial_index,run_label,eventual_success,first_attempt_success,corrected_attempts,runtime_ms,attempt_value,rolling_attempts,runtime_ms_value,rolling_runtime_ms,cumulative_success_rate,cumulative_first_attempt_rate
lever,baseline_raw,1,lever_baseline_raw_001,True,False,5,18281,5,5.0,18281,18281.0,1.0,0.0
lever,baseline_raw,2,lever_baseline_raw_002,True,False,2,7766,2,3.5,7766,13023.5,1.0,0.0
lever,baseline_raw,3,lever_baseline_raw_003,True,False,5,18277,5,4.0,18277,14774.666666666666,1.0,0.0
lever,baseline_raw,4,lever_baseline_raw_004,True,True,1,4164,1,2.6666666666666665,4164,10069.0,1.0,0.25
lever,baseline_raw,5,lever_baseline_raw_005,True,False,5,18421,5,3.6666666666666665,18421,13620.666666666666,1.0,0.2
lever,baseline_raw,6,lever_baseline_raw_006,True,False,6,21835,6,4.0,21835,14806.666666666666,1.0,0.16666666666666666
lever,baseline_raw,7,lever_baseline_raw_007,True,False,6,21836,6,5.666666666666667,21836,20697.333333333332,1.0,0.14285714285714285
lever,baseline_raw,8,lever_baseline_raw_008,True,False,4,14782,4,5.333333333333333,14782,19484.333333333332,1.0,0.125
lever,baseline_raw,9,lever_baseline_raw_009,True,False,3,11243,3,4.333333333333333,11243,15953.666666666666,1.0,0.1111111111111111
lever,baseline_raw,10,lever_baseline_raw_010,True,False,4,14774,4,3.6666666666666665,14774,13599.666666666666,1.0,0.1
lever,baseline_raw,11,lever_baseline_raw_011,True,False,4,14756,4,3.6666666666666665,14756,13591.0,1.0,0.09090909090909091
lever,baseline_raw,12,lever_baseline_raw_012,True,True,1,4232,1,3.0,4232,11254.0,1.0,0.16666666666666666
lever,baseline_raw,13,lever_baseline_raw_013,True,False,6,21831,6,3.6666666666666665,21831,13606.333333333334,1.0,0.15384615384615385
lever,baseline_raw,14,lever_baseline_raw_014,True,False,3,11293,3,3.3333333333333335,11293,12452.0,1.0,0.14285714285714285
lever,baseline_raw,15,lever_baseline_raw_015,True,False,6,21860,6,5.0,21860,18328.0,1.0,0.13333333333333333
lever,baseline_raw,16,lever_baseline_raw_016,True,False,6,21836,6,5.0,21836,18329.666666666668,1.0,0.125
lever,baseline_raw,17,lever_baseline_raw_017,True,False,3,11208,3,5.0,11208,18301.333333333332,1.0,0.11764705882352941
lever,baseline_raw,18,lever_baseline_raw_018,True,False,5,18373,5,4.666666666666667,18373,17139.0,1.0,0.1111111111111111
lever,baseline_raw,19,lever_baseline_raw_019,True,False,5,18325,5,4.333333333333333,18325,15968.666666666666,1.0,0.10526315789473684
lever,baseline_raw,20,lever_baseline_raw_020,True,False,3,11286,3,4.333333333333333,11286,15994.666666666666,1.0,0.1
lever,baseline_raw,21,lever_baseline_raw_021,True,False,2,7705,2,3.3333333333333335,7705,12438.666666666666,1.0,0.09523809523809523
lever,baseline_raw,22,lever_baseline_raw_022,True,False,5,18356,5,3.3333333333333335,18356,12449.0,1.0,0.09090909090909091
lever,baseline_raw,23,lever_baseline_raw_023,True,False,4,14937,4,3.6666666666666665,14937,13666.0,1.0,0.08695652173913043
lever,baseline_raw,24,lever_baseline_raw_024,True,False,3,11273,3,4.0,11273,14855.333333333334,1.0,0.08333333333333333
lever,baseline_raw,25,lever_baseline_raw_025,True,False,2,7728,2,3.0,7728,11312.666666666666,1.0,0.08
lever,raw_memory,1,lever_raw_memory_001,True,False,3,11518,3,3.0,11518,11518.0,1.0,0.0
lever,raw_memory,2,lever_raw_memory_002,True,True,1,4223,1,2.0,4223,7870.5,1.0,0.5
lever,raw_memory,3,lever_raw_memory_003,True,True,1,4293,1,1.6666666666666667,4293,6678.0,1.0,0.6666666666666666
lever,raw_memory,4,lever_raw_memory_004,True,True,1,4239,1,1.0,4239,4251.666666666667,1.0,0.75
lever,raw_memory,5,lever_raw_memory_005,True,True,1,4256,1,1.0,4256,4262.666666666667,1.0,0.8
lever,raw_memory,6,lever_raw_memory_006,True,True,1,4290,1,1.0,4290,4261.666666666667,1.0,0.8333333333333334
lever,raw_memory,7,lever_raw_memory_007,True,True,1,4231,1,1.0,4231,4259.0,1.0,0.8571428571428571
lever,raw_memory,8,lever_raw_memory_008,True,True,1,4347,1,1.0,4347,4289.333333333333,1.0,0.875
lever,raw_memory,9,lever_raw_memory_009,True,True,1,4243,1,1.0,4243,4273.666666666667,1.0,0.8888888888888888
lever,raw_memory,10,lever_raw_memory_010,True,True,1,4197,1,1.0,4197,4262.333333333333,1.0,0.9
lever,raw_memory,11,lever_raw_memory_011,True,True,1,4322,1,1.0,4322,4254.0,1.0,0.9090909090909091
lever,raw_memory,12,lever_raw_memory_012,True,True,1,4256,1,1.0,4256,4258.333333333333,1.0,0.9166666666666666
lever,raw_memory,13,lever_raw_memory_013,True,True,1,4210,1,1.0,4210,4262.666666666667,1.0,0.9230769230769231
lever,raw_memory,14,lever_raw_memory_014,True,True,1,4228,1,1.0,4228,4231.333333333333,1.0,0.9285714285714286
lever,raw_memory,15,lever_raw_memory_015,True,True,1,4373,1,1.0,4373,4270.333333333333,1.0,0.9333333333333333
lever,raw_memory,16,lever_raw_memory_016,True,True,1,4257,1,1.0,4257,4286.0,1.0,0.9375
lever,raw_memory,17,lever_raw_memory_017,True,True,1,4289,1,1.0,4289,4306.333333333333,1.0,0.9411764705882353
lever,raw_memory,18,lever_raw_memory_018,True,True,1,4245,1,1.0,4245,4263.666666666667,1.0,0.9444444444444444
lever,raw_memory,19,lever_raw_memory_019,True,True,1,4270,1,1.0,4270,4268.0,1.0,0.9473684210526315
lever,raw_memory,20,lever_raw_memory_020,True,True,1,4274,1,1.0,4274,4263.0,1.0,0.95
lever,raw_memory,21,lever_raw_memory_021,True,True,1,4420,1,1.0,4420,4321.333333333333,1.0,0.9523809523809523
lever,raw_memory,22,lever_raw_memory_022,True,True,1,4293,1,1.0,4293,4329.0,1.0,0.9545454545454546
lever,raw_memory,23,lever_raw_memory_023,True,True,1,4227,1,1.0,4227,4313.333333333333,1.0,0.9565217391304348
lever,raw_memory,24,lever_raw_memory_024,True,True,1,4351,1,1.0,4351,4290.333333333333,1.0,0.9583333333333334
lever,raw_memory,25,lever_raw_memory_025,True,True,1,4253,1,1.0,4253,4277.0,1.0,0.96
lever,distilled_memory,1,lever_distilled_memory_001,True,False,3,11376,3,3.0,11376,11376.0,1.0,0.0
lever,distilled_memory,2,lever_distilled_memory_002,True,True,1,4192,1,2.0,4192,7784.0,1.0,0.5
lever,distilled_memory,3,lever_distilled_memory_003,True,True,1,4215,1,1.6666666666666667,4215,6594.333333333333,1.0,0.6666666666666666
lever,distilled_memory,4,lever_distilled_memory_004,True,True,1,4216,1,1.0,4216,4207.666666666667,1.0,0.75
lever,distilled_memory,5,lever_distilled_memory_005,True,True,1,4371,1,1.0,4371,4267.333333333333,1.0,0.8
lever,distilled_memory,6,lever_distilled_memory_006,True,True,1,4205,1,1.0,4205,4264.0,1.0,0.8333333333333334
lever,distilled_memory,7,lever_distilled_memory_007,True,True,1,4228,1,1.0,4228,4268.0,1.0,0.8571428571428571
lever,distilled_memory,8,lever_distilled_memory_008,True,True,1,4198,1,1.0,4198,4210.333333333333,1.0,0.875
lever,distilled_memory,9,lever_distilled_memory_009,True,True,1,4355,1,1.0,4355,4260.333333333333,1.0,0.8888888888888888
lever,distilled_memory,10,lever_distilled_memory_010,True,True,1,4188,1,1.0,4188,4247.0,1.0,0.9
lever,distilled_memory,11,lever_distilled_memory_011,True,True,1,4189,1,1.0,4189,4244.0,1.0,0.9090909090909091
lever,distilled_memory,12,lever_distilled_memory_012,True,True,1,4234,1,1.0,4234,4203.666666666667,1.0,0.9166666666666666
lever,distilled_memory,13,lever_distilled_memory_013,True,True,1,4254,1,1.0,4254,4225.666666666667,1.0,0.9230769230769231
lever,distilled_memory,14,lever_distilled_memory_014,True,True,1,4212,1,1.0,4212,4233.333333333333,1.0,0.9285714285714286
lever,distilled_memory,15,lever_distilled_memory_015,True,True,1,4195,1,1.0,4195,4220.333333333333,1.0,0.9333333333333333
lever,distilled_memory,16,lever_distilled_memory_016,True,True,1,4193,1,1.0,4193,4200.0,1.0,0.9375
lever,distilled_memory,17,lever_distilled_memory_017,True,True,1,4387,1,1.0,4387,4258.333333333333,1.0,0.9411764705882353
lever,distilled_memory,18,lever_distilled_memory_018,True,True,1,4215,1,1.0,4215,4265.0,1.0,0.9444444444444444
lever,distilled_memory,19,lever_distilled_memory_019,True,True,1,4273,1,1.0,4273,4291.666666666667,1.0,0.9473684210526315
lever,distilled_memory,20,lever_distilled_memory_020,True,True,1,4227,1,1.0,4227,4238.333333333333,1.0,0.95
lever,distilled_memory,21,lever_distilled_memory_021,True,True,1,4247,1,1.0,4247,4249.0,1.0,0.9523809523809523
lever,distilled_memory,22,lever_distilled_memory_022,True,True,1,4223,1,1.0,4223,4232.333333333333,1.0,0.9545454545454546
lever,distilled_memory,23,lever_distilled_memory_023,True,True,1,4284,1,1.0,4284,4251.333333333333,1.0,0.9565217391304348
lever,distilled_memory,24,lever_distilled_memory_024,True,True,1,4246,1,1.0,4246,4251.0,1.0,0.9583333333333334
lever,distilled_memory,25,lever_distilled_memory_025,True,True,1,4245,1,1.0,4245,4258.333333333333,1.0,0.96
