scenario,condition_name,window_label,window_start,window_end,run_count,eventual_success_rate,first_attempt_success_rate,mean_attempts,median_attempts,mean_corrected_attempts,median_corrected_attempts,mean_attempt_value,median_attempt_value,mean_runtime,median_runtime,mean_avg_cpu_percent,mean_avg_rss_mb,mean_avg_gpu_util_percent,mean_avg_vram_used_mb
maze,baseline_raw,1-25,1,25,25,1,1.0,1.0,1,,,1.0,1,29171.2,29163,0.3967199999999999,219.06776,31.585560000000005,897.84832
maze,baseline_raw,26-50,26,50,25,1,1.0,1.0,1,,,1.0,1,29135.68,29119,0.4215600000000001,222.27048000000005,30.35132,924.87484
maze,baseline_raw,51-75,51,75,25,1,1.0,1.0,1,,,1.0,1,29165.08,29128,0.3898799999999999,222.93104,29.82652000000001,820.7253599999999
maze,baseline_raw,76-100,76,100,25,1,1.0,1.0,1,,,1.0,1,29171.16,29155,0.4092,221.79652,30.117680000000004,831.06204
maze,baseline_raw,101-125,101,125,25,1,1.0,1.0,1,,,1.0,1,29180.0,29156,0.4002800000000001,223.29792,29.79844,909.0614800000002
maze,baseline_raw,126-150,126,150,25,1,1.0,1.0,1,,,1.0,1,29163.16,29156,0.4038000000000001,229.09328,29.18784,916.61312
maze,baseline_raw,151-175,151,175,25,1,1.0,1.0,1,,,1.0,1,29156.88,29167,0.4217999999999999,220.97024,26.68616,973.35504
maze,baseline_raw,176-200,176,200,25,1,1.0,1.0,1,,,1.0,1,29163.24,29135,0.4197199999999999,220.33291999999997,27.786439999999992,1131.79784
maze,raw_memory,1-25,1,25,25,1,1.0,1.0,1,,,1.0,1,19820.8,19424,1.6564400000000006,239.34632,24.22452,1245.5856000000003
maze,raw_memory,26-50,26,50,25,1,1.0,1.0,1,,,1.0,1,19406.92,19412,1.53772,241.14836,18.93188,1531.06796
maze,raw_memory,51-75,51,75,25,1,1.0,1.0,1,,,1.0,1,19412.24,19415,1.3764799999999997,240.65552,21.89,1667.71228
maze,raw_memory,76-100,76,100,25,1,1.0,1.0,1,,,1.0,1,19438.08,19454,1.4424,218.09592000000004,30.1976,1196.0784400000002
maze,raw_memory,101-125,101,125,25,1,1.0,1.0,1,,,1.0,1,19432.2,19432,1.3771600000000002,214.21836,29.72708,1174.94096
maze,raw_memory,126-150,126,150,25,1,1.0,1.0,1,,,1.0,1,19456.36,19470,1.3795999999999995,215.1834,30.1486,1163.13816
maze,raw_memory,151-175,151,175,25,1,1.0,1.0,1,,,1.0,1,19466.64,19474,1.33736,216.04184,29.73024,1163.60036
maze,raw_memory,176-200,176,200,25,1,1.0,1.0,1,,,1.0,1,19488.64,19494,1.3522,217.32224,29.770280000000003,1163.7154000000005
maze,distilled_memory,1-25,1,25,25,1,1.0,1.0,1,,,1.0,1,20594.52,20206,0.9871200000000004,241.96116,64.87775999999998,4375.535400000001
maze,distilled_memory,26-50,26,50,25,1,1.0,1.0,1,,,1.0,1,20154.96,20149,1.0066400000000002,244.38804,65.18852000000001,4413.53912
maze,distilled_memory,51-75,51,75,25,1,1.0,1.0,1,,,1.0,1,20269.52,20325,1.01496,242.99372,65.70668,4206.6320000000005
maze,distilled_memory,76-100,76,100,25,1,1.0,1.0,1,,,1.0,1,20362.72,20310,1.0239199999999995,243.64176,58.73904000000002,3891.47624
maze,distilled_memory,101-125,101,125,25,1,0.96,1.04,1,,,1.04,1,20588.76,20153,1.09776,243.65388,58.026320000000005,3853.86568
maze,distilled_memory,126-150,126,150,25,1,1.0,1.0,1,,,1.0,1,20350.32,20289,1.00684,246.20752,57.02856,3894.2552800000017
maze,distilled_memory,151-175,151,175,25,1,1.0,1.0,1,,,1.0,1,20212.64,20047,1.29276,243.13244,40.52555999999999,3451.78196
maze,distilled_memory,176-200,176,200,25,1,1.0,1.0,1,,,1.0,1,20835.2,20766,0.968,227.29856,62.37523999999999,5873.567639999999
