scenario,condition_name,window_label,window_start,window_end,run_count,eventual_success_rate,first_attempt_success_rate,mean_attempts,median_attempts,mean_corrected_attempts,median_corrected_attempts,mean_attempt_value,median_attempt_value,mean_runtime,median_runtime,mean_avg_cpu_percent,mean_avg_rss_mb,mean_avg_gpu_util_percent,mean_avg_vram_used_mb
key,baseline_raw,1-25,1,25,25,1,0.6,1.6,1,,,1.6,1,15250.32,14323,0.7660799999999999,231.24455999999998,30.39668,4208.187960000001
key,baseline_raw,26-50,26,50,25,0.96,0.44,2.16,2,,,2.16,2,20581.64,14861,0.77004,232.90392000000003,29.921080000000003,4208.262000000001
key,baseline_raw,51-75,51,75,25,1,0.68,1.52,1,,,1.52,1,16055.28,11408,0.76168,230.96087999999997,30.09716,4209.1266399999995
key,baseline_raw,76-100,76,100,25,1,0.56,1.68,1,,,1.68,1,16082.04,13012,0.7664399999999999,231.59807999999998,29.545119999999997,4209.19044
key,baseline_raw,101-125,101,125,25,1,0.76,1.4,1,,,1.4,1,12719.04,12714,0.7843200000000001,230.47828,30.23956,4209.110640000001
key,baseline_raw,126-150,126,150,25,1,0.52,1.88,1,,,1.88,1,18378.64,11018,0.7763999999999999,231.72756,29.605959999999996,4209.25348
key,baseline_raw,151-175,151,175,25,1,0.52,1.8,1,,,1.8,1,18781.28,12969,0.82832,230.55256,29.601320000000005,4209.13752
key,baseline_raw,176-200,176,200,25,1,0.72,1.32,1,,,1.32,1,14220.76,12173,0.78212,230.14144,29.333039999999997,4209.1188
key,raw_memory,1-25,1,25,25,0.04,0,5.84,6,,,5.84,6,32677.44,33532,1.8627200000000004,246.66548,29.855680000000003,4209.137119999999
key,raw_memory,26-50,26,50,25,0,0,6,6,,,6,6,33934.12,33965,1.8505600000000002,250.56716000000003,29.4832,4209.1615600000005
key,raw_memory,51-75,51,75,25,0,0,6,6,,,6,6,34106.04,34119,1.8809199999999995,253.44088,29.34764,4209.18556
key,raw_memory,76-100,76,100,25,0,0,6,6,,,6,6,34525.24,34414,1.8168,256.7058800000001,29.58116,4209.136240000001
key,raw_memory,101-125,101,125,25,0,0,6,6,,,6,6,34874.56,34882,1.80628,262.55287999999996,29.68948,4209.1708800000015
key,raw_memory,126-150,126,150,25,0,0,6,6,,,6,6,35033.48,34958,1.80736,264.28844,29.232439999999997,4209.18936
key,raw_memory,151-175,151,175,25,0,0,6,6,,,6,6,35297.8,35214,1.78432,267.00487999999996,29.1774,4209.15412
key,raw_memory,176-200,176,200,25,0,0,6,6,,,6,6,35630.6,35653,1.8068400000000002,271.03524,29.42716,4209.198960000001
key,distilled_memory,1-25,1,25,25,1,0,2.04,2,,,2.04,2,9594.4,8166,2.62672,196.05579999999998,30.50656,4209.23488
key,distilled_memory,26-50,26,50,25,1,0,2,2,,,2,2,8213.04,8217,3.7680399999999996,194.18459999999996,30.62848,4209.2818
key,distilled_memory,51-75,51,75,25,1,0,2,2,,,2,2,8252.4,8247,4.5903599999999996,196.63332000000003,30.057799999999997,4209.13864
key,distilled_memory,76-100,76,100,25,1,0,2,2,,,2,2,8260.92,8266,4.09104,197.26428000000004,30.488839999999996,4209.059520000001
key,distilled_memory,101-125,101,125,25,1,0,2,2,,,2,2,8304.76,8312,4.86516,198.04327999999998,30.1702,4209.11288
key,distilled_memory,126-150,126,150,25,1,0,2,2,,,2,2,8355.24,8358,4.47972,199.43376000000004,30.355119999999996,4209.196439999999
key,distilled_memory,151-175,151,175,25,1,0,2,2,,,2,2,8404.16,8386,4.5663599999999995,199.06236,30.892000000000007,4209.224
key,distilled_memory,176-200,176,200,25,1,0,2,2,,,2,2,8409.08,8409,4.200039999999999,201.81336,29.96132,4209.248
