scenario,condition_name,run_id,run_label,run_path,trial_index,window_label,eventual_success,first_attempt_success,attempts,corrected_attempts,duration_seconds,runtime_ms,avg_cpu_percent,max_cpu_percent,avg_rss_mb,max_rss_mb,avg_heap_used_mb,max_heap_used_mb,avg_gpu_util_percent,max_gpu_util_percent,avg_vram_used_mb,max_vram_used_mb,sample_count
lever,baseline_raw,lever-2026-04-01T20-48-52-368Z,lever_baseline_raw_001,runs/lever/raw/lever-2026-04-01T20-48-52-368Z,1,1-25,true,false,3,4,15.397,15395,1.568,7.121,217.771,257.305,69.656,75.257,28.588,84,5422.353,5508,17
lever,baseline_raw,lever-2026-04-01T20-49-13-458Z,lever_baseline_raw_002,runs/lever/raw/lever-2026-04-01T20-49-13-458Z,2,1-25,true,false,5,6,22.095,22094,1.534,8.274,218.39,257.762,69.897,77.369,31.304,86,5407.913,5682,23
lever,baseline_raw,lever-2026-04-01T20-49-41-840Z,lever_baseline_raw_003,runs/lever/raw/lever-2026-04-01T20-49-41-840Z,3,1-25,true,false,5,6,25.656,25654,1.257,6.248,215.578,251.691,70.442,77.883,24.667,85,5250.5,5382,25
lever,baseline_raw,lever-2026-04-01T20-50-14-921Z,lever_baseline_raw_004,runs/lever/raw/lever-2026-04-01T20-50-14-921Z,4,1-25,true,false,3,4,16.196,16194,1.282,9.025,214.903,253.43,69.723,75.284,40.867,87,5289.6,5348,17
lever,baseline_raw,lever-2026-04-01T20-50-38-680Z,lever_baseline_raw_005,runs/lever/raw/lever-2026-04-01T20-50-38-680Z,5,1-25,true,false,1,2,9.145,9143,1.299,4.341,215.689,259.238,68.061,77.056,8,19,5263,5400,10
lever,baseline_raw,lever-2026-04-01T20-50-53-473Z,lever_baseline_raw_006,runs/lever/raw/lever-2026-04-01T20-50-53-473Z,6,1-25,true,false,1,2,8.465,8464,1.437,5.224,211.267,253.141,66.208,68.052,18.3,83,5279.8,5386,10
lever,baseline_raw,lever-2026-04-01T20-51-08-394Z,lever_baseline_raw_007,runs/lever/raw/lever-2026-04-01T20-51-08-394Z,7,1-25,true,true,0,1,7.351,7344,1.419,4.82,196.659,256.465,65.026,69.742,26.429,66,5169.429,5333,8
lever,baseline_raw,lever-2026-04-01T20-51-21-704Z,lever_baseline_raw_008,runs/lever/raw/lever-2026-04-01T20-51-21-704Z,8,1-25,true,true,0,1,4.574,4557,1.445,6.294,206.544,254.863,66.515,73.049,74.667,89,5327,5330,6
lever,baseline_raw,lever-2026-04-01T20-51-34-403Z,lever_baseline_raw_009,runs/lever/raw/lever-2026-04-01T20-51-34-403Z,9,1-25,true,false,3,4,16.181,16180,1.167,6.245,218.635,259.125,69.322,75.62,15.706,55,5220.059,5412,17
lever,baseline_raw,lever-2026-04-01T20-51-57-885Z,lever_baseline_raw_010,runs/lever/raw/lever-2026-04-01T20-51-57-885Z,10,1-25,true,true,0,1,4.408,4396,1.799,8.877,212.391,255.922,64.145,70.532,8.667,20,5300.333,5368,6
lever,baseline_raw,lever-2026-04-01T20-52-09-690Z,lever_baseline_raw_011,runs/lever/raw/lever-2026-04-01T20-52-09-690Z,11,1-25,false,false,6,6,26.241,26240,1.297,8.351,219.621,258.313,70.584,77.144,30.538,92,5246.962,5421,27
lever,baseline_raw,lever-2026-04-01T20-52-42-569Z,lever_baseline_raw_012,runs/lever/raw/lever-2026-04-01T20-52-42-569Z,12,1-25,true,false,1,2,8.628,8615,1.185,4.933,213.675,257.672,66.486,76.366,31.9,82,5299.8,5373,10
lever,baseline_raw,lever-2026-04-01T20-52-57-652Z,lever_baseline_raw_013,runs/lever/raw/lever-2026-04-01T20-52-57-652Z,13,1-25,true,false,3,4,16.623,16621,1.491,6.635,221.86,260.445,72.09,78.971,32.313,93,5245.563,5412,18
lever,baseline_raw,lever-2026-04-01T20-53-21-160Z,lever_baseline_raw_014,runs/lever/raw/lever-2026-04-01T20-53-21-160Z,14,1-25,true,true,0,1,4.236,4235,1.861,8.816,215.251,257.59,66.91,75.423,60.833,82,5306.667,5341,6
lever,baseline_raw,lever-2026-04-01T20-53-35-194Z,lever_baseline_raw_015,runs/lever/raw/lever-2026-04-01T20-53-35-194Z,15,1-25,true,true,0,1,4.269,4257,1.662,7.455,215.655,258.293,69.211,77.608,42.667,73,5182.167,5425,6
lever,baseline_raw,lever-2026-04-01T20-53-45-412Z,lever_baseline_raw_016,runs/lever/raw/lever-2026-04-01T20-53-45-412Z,16,1-25,true,false,2,3,13.015,13013,1.314,8.024,212.16,253.566,70.217,75.535,38.846,84,5216.692,5333,14
lever,baseline_raw,lever-2026-04-01T20-54-05-649Z,lever_baseline_raw_017,runs/lever/raw/lever-2026-04-01T20-54-05-649Z,17,1-25,true,false,5,6,22.455,22453,1.37,7.464,217.753,257.93,71.416,77.957,14.348,61,5255.217,5360,23
lever,baseline_raw,lever-2026-04-01T20-54-34-512Z,lever_baseline_raw_018,runs/lever/raw/lever-2026-04-01T20-54-34-512Z,18,1-25,true,false,2,3,12.166,12158,1.492,7.022,212.817,255.039,67.984,74.197,18.231,79,5206.692,5321,13
lever,baseline_raw,lever-2026-04-01T20-54-52-754Z,lever_baseline_raw_019,runs/lever/raw/lever-2026-04-01T20-54-52-754Z,19,1-25,true,false,4,5,19.882,19881,1.043,7.894,216.205,255.027,69.45,76.36,22.095,68,5265.667,5353,21
lever,baseline_raw,lever-2026-04-01T20-55-19-411Z,lever_baseline_raw_020,runs/lever/raw/lever-2026-04-01T20-55-19-411Z,20,1-25,true,false,4,5,20.272,20250,1.164,7.506,216.343,255.355,69.319,75.721,19.85,58,5234.2,5355,21
lever,baseline_raw,lever-2026-04-01T20-55-45-550Z,lever_baseline_raw_021,runs/lever/raw/lever-2026-04-01T20-55-45-550Z,21,1-25,true,true,0,1,4.609,4607,2.14,8.691,206.799,256.652,66.179,73.866,21.5,75,5285.667,5331,6
lever,baseline_raw,lever-2026-04-01T20-55-56-907Z,lever_baseline_raw_022,runs/lever/raw/lever-2026-04-01T20-55-56-907Z,22,1-25,true,false,2,3,11.939,11937,1.576,6.977,213.01,254.105,68.217,75.744,46.667,89,5307.167,5328,13
lever,baseline_raw,lever-2026-04-01T20-56-14-710Z,lever_baseline_raw_023,runs/lever/raw/lever-2026-04-01T20-56-14-710Z,23,1-25,true,false,2,3,11.68,11678,1.449,7.079,216.585,259.641,68.247,76.46,36.154,85,5292.692,5385,13
lever,baseline_raw,lever-2026-04-01T20-56-32-081Z,lever_baseline_raw_024,runs/lever/raw/lever-2026-04-01T20-56-32-081Z,24,1-25,true,false,5,6,22.716,22714,1.571,6.218,216.181,252.852,69.61,76.802,26.417,79,5313.833,5480,24
lever,baseline_raw,lever-2026-04-01T20-57-01-428Z,lever_baseline_raw_025,runs/lever/raw/lever-2026-04-01T20-57-01-428Z,25,1-25,true,false,5,6,23.217,23215,1.294,5.224,215.335,247.609,71.084,78.414,34,87,5359.583,5553,24
lever,baseline_raw,lever-2026-04-01T20-57-30-708Z,lever_baseline_raw_026,runs/lever/raw/lever-2026-04-01T20-57-30-708Z,26,26-50,true,false,3,4,16.269,16266,1.454,5.573,212.523,250.777,68.9,76.281,29.471,90,5341.176,5561,17
lever,baseline_raw,lever-2026-04-01T20-57-52-798Z,lever_baseline_raw_027,runs/lever/raw/lever-2026-04-01T20-57-52-798Z,27,26-50,true,false,1,2,8.081,8076,2.159,10.011,211.355,256.48,66.775,72.443,56.889,86,5408,5408,9
lever,baseline_raw,lever-2026-04-01T20-58-07-327Z,lever_baseline_raw_028,runs/lever/raw/lever-2026-04-01T20-58-07-327Z,28,26-50,true,true,0,1,4.641,4628,1.669,8.432,213.873,256.891,67.609,72.619,12.167,27,5283.667,5292,6
lever,baseline_raw,lever-2026-04-01T20-58-18-462Z,lever_baseline_raw_029,runs/lever/raw/lever-2026-04-01T20-58-18-462Z,29,26-50,true,true,0,1,4.363,4361,1.827,8.533,212.216,255.211,64.993,70.735,19.5,50,5365.667,5426,6
lever,baseline_raw,lever-2026-04-01T20-58-28-713Z,lever_baseline_raw_030,runs/lever/raw/lever-2026-04-01T20-58-28-713Z,30,26-50,true,false,2,3,11.656,11655,1.928,12.535,216.717,258.641,69.107,76.486,35.462,84,5300.308,5408,13
lever,baseline_raw,lever-2026-04-01T20-58-46-328Z,lever_baseline_raw_031,runs/lever/raw/lever-2026-04-01T20-58-46-328Z,31,26-50,true,true,0,1,4.527,4525,1.586,6.544,207.37,256.957,67.455,73.183,29.667,93,5306.333,5378,6
lever,baseline_raw,lever-2026-04-01T20-58-56-054Z,lever_baseline_raw_032,runs/lever/raw/lever-2026-04-01T20-58-56-054Z,32,26-50,true,false,1,2,7.893,7892,1.531,7.373,208.885,251.977,68.897,74.929,6.111,21,5346.222,5464,9
lever,baseline_raw,lever-2026-04-01T20-59-09-727Z,lever_baseline_raw_033,runs/lever/raw/lever-2026-04-01T20-59-09-727Z,33,26-50,true,true,0,1,4.296,4294,2.044,9.313,214.858,258.543,66.435,70.968,74,84,5406,5406,6
