scenario,mode_folder,condition_name,run_id,run_label,run_path,trial_index,window_label,eventual_success,first_attempt_success,stored_attempts,corrected_attempts,duration_seconds,runtime_ms
lever,raw,baseline_raw,lever-2026-03-31T21-33-13-244Z,lever_baseline_raw_001,runs/lever/raw/lever-2026-03-31T21-33-13-244Z,1,1-25,true,false,4,5,18.282,18281
lever,raw,baseline_raw,lever-2026-03-31T21-33-36-325Z,lever_baseline_raw_002,runs/lever/raw/lever-2026-03-31T21-33-36-325Z,2,1-25,true,false,1,2,7.767,7766
lever,raw,baseline_raw,lever-2026-03-31T21-33-48-696Z,lever_baseline_raw_003,runs/lever/raw/lever-2026-03-31T21-33-48-696Z,3,1-25,true,false,4,5,18.278,18277
lever,raw,baseline_raw,lever-2026-03-31T21-34-11-746Z,lever_baseline_raw_004,runs/lever/raw/lever-2026-03-31T21-34-11-746Z,4,1-25,true,true,0,1,4.165,4164
lever,raw,baseline_raw,lever-2026-03-31T21-34-20-686Z,lever_baseline_raw_005,runs/lever/raw/lever-2026-03-31T21-34-20-686Z,5,1-25,true,false,4,5,18.424,18421
lever,raw,baseline_raw,lever-2026-03-31T21-34-43-843Z,lever_baseline_raw_006,runs/lever/raw/lever-2026-03-31T21-34-43-843Z,6,1-25,true,false,5,6,21.843,21835
lever,raw,baseline_raw,lever-2026-03-31T21-35-10-443Z,lever_baseline_raw_007,runs/lever/raw/lever-2026-03-31T21-35-10-443Z,7,1-25,true,false,5,6,21.837,21836
lever,raw,baseline_raw,lever-2026-03-31T21-35-37-050Z,lever_baseline_raw_008,runs/lever/raw/lever-2026-03-31T21-35-37-050Z,8,1-25,true,false,3,4,14.783,14782
lever,raw,baseline_raw,lever-2026-03-31T21-35-56-542Z,lever_baseline_raw_009,runs/lever/raw/lever-2026-03-31T21-35-56-542Z,9,1-25,true,false,2,3,11.245,11243
lever,raw,baseline_raw,lever-2026-03-31T21-36-12-444Z,lever_baseline_raw_010,runs/lever/raw/lever-2026-03-31T21-36-12-444Z,10,1-25,true,false,3,4,14.775,14774
lever,raw,baseline_raw,lever-2026-03-31T21-36-32-044Z,lever_baseline_raw_011,runs/lever/raw/lever-2026-03-31T21-36-32-044Z,11,1-25,true,false,3,4,14.757,14756
lever,raw,baseline_raw,lever-2026-03-31T21-36-51-459Z,lever_baseline_raw_012,runs/lever/raw/lever-2026-03-31T21-36-51-459Z,12,1-25,true,true,0,1,4.233,4232
lever,raw,baseline_raw,lever-2026-03-31T21-37-00-245Z,lever_baseline_raw_013,runs/lever/raw/lever-2026-03-31T21-37-00-245Z,13,1-25,true,false,5,6,21.832,21831
lever,raw,baseline_raw,lever-2026-03-31T21-37-26-592Z,lever_baseline_raw_014,runs/lever/raw/lever-2026-03-31T21-37-26-592Z,14,1-25,true,false,2,3,11.294,11293
lever,raw,baseline_raw,lever-2026-03-31T21-37-42-631Z,lever_baseline_raw_015,runs/lever/raw/lever-2026-03-31T21-37-42-631Z,15,1-25,true,false,5,6,21.861,21860
lever,raw,baseline_raw,lever-2026-03-31T21-38-09-395Z,lever_baseline_raw_016,runs/lever/raw/lever-2026-03-31T21-38-09-395Z,16,1-25,true,false,5,6,21.837,21836
lever,raw,baseline_raw,lever-2026-03-31T21-38-35-795Z,lever_baseline_raw_017,runs/lever/raw/lever-2026-03-31T21-38-35-795Z,17,1-25,true,false,2,3,11.209,11208
lever,raw,baseline_raw,lever-2026-03-31T21-38-51-491Z,lever_baseline_raw_018,runs/lever/raw/lever-2026-03-31T21-38-51-491Z,18,1-25,true,false,4,5,18.377,18373
lever,raw,baseline_raw,lever-2026-03-31T21-39-14-806Z,lever_baseline_raw_019,runs/lever/raw/lever-2026-03-31T21-39-14-806Z,19,1-25,true,false,4,5,18.326,18325
lever,raw,baseline_raw,lever-2026-03-31T21-39-37-696Z,lever_baseline_raw_020,runs/lever/raw/lever-2026-03-31T21-39-37-696Z,20,1-25,true,false,2,3,11.288,11286
lever,raw,baseline_raw,lever-2026-03-31T21-39-53-798Z,lever_baseline_raw_021,runs/lever/raw/lever-2026-03-31T21-39-53-798Z,21,1-25,true,false,1,2,7.706,7705
lever,raw,baseline_raw,lever-2026-03-31T21-40-06-150Z,lever_baseline_raw_022,runs/lever/raw/lever-2026-03-31T21-40-06-150Z,22,1-25,true,false,4,5,18.358,18356
lever,raw,baseline_raw,lever-2026-03-31T21-40-29-331Z,lever_baseline_raw_023,runs/lever/raw/lever-2026-03-31T21-40-29-331Z,23,1-25,true,false,3,4,14.939,14937
lever,raw,baseline_raw,lever-2026-03-31T21-40-49-048Z,lever_baseline_raw_024,runs/lever/raw/lever-2026-03-31T21-40-49-048Z,24,1-25,true,false,2,3,11.274,11273
lever,raw,baseline_raw,lever-2026-03-31T21-41-05-099Z,lever_baseline_raw_025,runs/lever/raw/lever-2026-03-31T21-41-05-099Z,25,1-25,true,false,1,2,7.729,7728
lever,raw,baseline_raw,lever-2026-03-31T21-41-17-500Z,lever_baseline_raw_026,runs/lever/raw/lever-2026-03-31T21-41-17-500Z,26,26-50,true,false,4,5,18.326,18325
lever,raw,baseline_raw,lever-2026-03-31T21-41-40-562Z,lever_baseline_raw_027,runs/lever/raw/lever-2026-03-31T21-41-40-562Z,27,26-50,true,false,4,5,18.468,18467
lever,raw,baseline_raw,lever-2026-03-31T21-42-04-013Z,lever_baseline_raw_028,runs/lever/raw/lever-2026-03-31T21-42-04-013Z,28,26-50,true,false,1,2,7.77,7769
lever,raw,baseline_raw,lever-2026-03-31T21-42-16-446Z,lever_baseline_raw_029,runs/lever/raw/lever-2026-03-31T21-42-16-446Z,29,26-50,true,false,5,6,21.869,21860
