scenario,condition_name,window_label,window_start,window_end,run_count,eventual_success_rate,first_attempt_success_rate,mean_attempts,median_attempts,mean_corrected_attempts,median_corrected_attempts,mean_attempt_value,median_attempt_value,mean_runtime,median_runtime,mean_avg_cpu_percent,mean_avg_rss_mb,mean_avg_gpu_util_percent,mean_avg_vram_used_mb
lever,baseline_raw,1-25,1,25,25,0.96,0.24,2.48,2,3.44,3,3.44,3,14051.8,13013,1.44464,214.28308000000004,30.142160000000004,5277.94224
lever,baseline_raw,26-50,26,50,25,0.96,0.24,2.32,2,3.28,3,3.28,3,15661.72,11753,1.4013600000000002,211.90479999999997,53.46716000000001,5514.9843599999995
lever,baseline_raw,51-75,51,75,25,0.92,0.12,2.6,3,3.52,4,3.52,4,18769.64,17129,1.0740399999999999,212.33891999999997,69.23899999999999,5523.79576
lever,baseline_raw,76-100,76,100,25,0.96,0.12,2.68,3,3.64,4,3.64,4,18847.64,18036,1.07176,211.72263999999998,78.15256000000001,5674.82704
lever,baseline_raw,101-125,101,125,25,0.96,0.2,2.24,2,3.2,3,3.2,3,16941.84,15820,1.20128,211.49148000000002,62.70223999999999,5568.30836
lever,baseline_raw,126-150,126,150,25,1,0.08,2.92,3,3.92,4,3.92,4,18404.72,20245,1.28292,214.02999999999992,59.73143999999999,5537.06808
lever,baseline_raw,151-175,151,175,25,1,0.08,2.4,2,3.4,3,3.4,3,14199.4,14791,1.4502400000000002,211.87875999999997,40.539440000000006,4815.63676
lever,baseline_raw,176-200,176,200,25,1,0.12,2.8,3,3.8,4,3.8,4,14102.4,14790,1.5202799999999996,212.61636,26.467479999999995,4271
lever,raw_memory,1-25,1,25,25,1,1,0,0,1,1,1,1,4700.4,4718,3.88884,216.11028,24.559959999999997,4271
lever,raw_memory,26-50,26,50,25,1,1,0,0,1,1,1,1,4712.76,4722,3.8096800000000006,217.30803999999998,24.066639999999996,4271
lever,raw_memory,51-75,51,75,25,1,1,0,0,1,1,1,1,4743.48,4747,3.7648800000000007,216.58248,24.399879999999992,4271
lever,raw_memory,76-100,76,100,25,1,1,0,0,1,1,1,1,4751.4,4762,3.61272,216.94447999999997,24.30664,4271
lever,raw_memory,101-125,101,125,25,1,1,0,0,1,1,1,1,4766.88,4786,3.6245200000000004,219.00292,24.68672,4271
lever,raw_memory,126-150,126,150,25,1,1,0,0,1,1,1,1,4788.96,4790,3.492680000000001,218.08292000000006,24.46668,4271
lever,raw_memory,151-175,151,175,25,1,1,0,0,1,1,1,1,4801.64,4814,3.585719999999999,216.31583999999998,24.406599999999997,4271
lever,raw_memory,176-200,176,200,25,1,1,0,0,1,1,1,1,4823.16,4841,3.3150800000000005,216.98184,24.086640000000003,4271
lever,distilled_memory,1-25,1,25,25,1,0.96,0.04,0,1.04,1,1.04,1,4363.6,4206,5.75736,186.68727999999996,24.83108,4271
lever,distilled_memory,26-50,26,50,25,1,1,0,0,1,1,1,1,4229.76,4213,6.9616799999999985,188.66944,24.200039999999998,4271
lever,distilled_memory,51-75,51,75,25,1,1,0,0,1,1,1,1,4257.32,4241,7.538760000000002,189.06324000000006,23.639919999999996,4271.01332
lever,distilled_memory,76-100,76,100,25,1,1,0,0,1,1,1,1,4268.52,4245,7.839800000000001,190.53424000000004,24.473320000000005,4271
lever,distilled_memory,101-125,101,125,25,1,1,0,0,1,1,1,1,4269.8,4261,8.40464,192.93160000000003,25.42664,4271
lever,distilled_memory,126-150,126,150,25,1,1,0,0,1,1,1,1,4299.56,4272,7.3765600000000004,193.45752000000002,23.953440000000004,4271
lever,distilled_memory,151-175,151,175,25,1,1,0,0,1,1,1,1,4280.36,4281,7.835920000000001,194.8624,24.133319999999998,4271
lever,distilled_memory,176-200,176,200,25,1,1,0,0,1,1,1,1,4317.2,4299,7.554640000000001,190.14012000000002,24.37332,4271
