scenario,condition_name,run_id,run_label,run_path,trial_index,window_label,eventual_success,first_attempt_success,attempts,corrected_attempts,duration_seconds,runtime_ms,avg_cpu_percent,max_cpu_percent,avg_rss_mb,max_rss_mb,avg_heap_used_mb,max_heap_used_mb,avg_gpu_util_percent,max_gpu_util_percent,avg_vram_used_mb,max_vram_used_mb,sample_count
maze,baseline_raw,maze-2026-04-01T23-45-20-389Z,maze_baseline_raw_001,runs/maze/raw/maze-2026-04-01T23-45-20-389Z,1,1-25,true,true,1,,29.101,29099,0.41,7.079,209.728,257.563,70.371,77.998,23.433,26,4271,4271,30
maze,baseline_raw,maze-2026-04-01T23-45-54-288Z,maze_baseline_raw_002,runs/maze/raw/maze-2026-04-01T23-45-54-288Z,2,1-25,true,true,1,,29.069,29068,0.489,7.893,224.254,260.352,74.32,81.311,23.933,32,4271,4271,30
maze,baseline_raw,maze-2026-04-01T23-46-28-243Z,maze_baseline_raw_003,runs/maze/raw/maze-2026-04-01T23-46-28-243Z,3,1-25,true,true,1,,29.225,29224,0.514,7.203,224.262,261.258,72.453,79.463,24.065,27,4271,4271,31
maze,baseline_raw,maze-2026-04-01T23-47-02-391Z,maze_baseline_raw_004,runs/maze/raw/maze-2026-04-01T23-47-02-391Z,4,1-25,true,true,1,,29.22,29208,0.396,5.68,210.429,259.152,70.341,79.06,24.194,30,4271,4271,31
maze,baseline_raw,maze-2026-04-01T23-47-36-540Z,maze_baseline_raw_005,runs/maze/raw/maze-2026-04-01T23-47-36-540Z,5,1-25,true,true,1,,29.194,29193,0.424,7.104,225.083,260.242,72.57,79.523,23.935,26,4271,4271,31
maze,baseline_raw,maze-2026-04-01T23-48-10-638Z,maze_baseline_raw_006,runs/maze/raw/maze-2026-04-01T23-48-10-638Z,6,1-25,true,true,1,,28.996,28983,0.422,7.766,223.578,258.406,73.043,79.982,22.633,25,4271,4271,30
maze,baseline_raw,maze-2026-04-01T23-48-44-294Z,maze_baseline_raw_007,runs/maze/raw/maze-2026-04-01T23-48-44-294Z,7,1-25,true,true,1,,29.246,29245,0.362,5.294,215.819,260.219,72.269,80.384,23.484,30,4271,4271,31
maze,baseline_raw,maze-2026-04-01T23-49-18-239Z,maze_baseline_raw_008,runs/maze/raw/maze-2026-04-01T23-49-18-239Z,8,1-25,true,true,1,,29.07,29069,0.569,8.251,222.984,260.27,73.094,79.954,23.5,26,4271,4271,30
maze,baseline_raw,maze-2026-04-01T23-49-52-242Z,maze_baseline_raw_009,runs/maze/raw/maze-2026-04-01T23-49-52-242Z,9,1-25,true,true,1,,29.078,29077,0.493,9.241,225.613,261.039,72.593,80.568,22.433,26,4271,4271,30
maze,baseline_raw,maze-2026-04-01T23-50-26-192Z,maze_baseline_raw_010,runs/maze/raw/maze-2026-04-01T23-50-26-192Z,10,1-25,true,true,1,,29.127,29126,0.465,8.443,215.746,261.84,70.709,78.315,24.933,29,4271,4271,30
