scenario,condition_name,window_label,window_start,window_end,run_count,eventual_success_rate,first_attempt_success_rate,mean_attempts,median_attempts,mean_corrected_attempts,median_corrected_attempts,mean_attempt_value,median_attempt_value,mean_runtime,median_runtime,mean_avg_cpu_percent,mean_avg_rss_mb,mean_avg_gpu_util_percent,mean_avg_vram_used_mb
maze,baseline_raw,1-25,1,25,25,1,1,1,1,,,1,1,29104.04,29081,0.43876000000000004,222.23172,24.27196,4271
maze,baseline_raw,26-50,26,50,25,1,1,1,1,,,1,1,29161.12,29098,0.41511999999999993,222.62336,24.000479999999996,4271
maze,baseline_raw,51-75,51,75,25,1,1,1,1,,,1,1,29139.32,29126,0.4180400000000001,223.16644,23.786119999999997,4271
maze,baseline_raw,76-100,76,100,25,1,1,1,1,,,1,1,29114.92,29118,0.43792000000000003,222.34447999999992,24.53696,4271
maze,baseline_raw,101-125,101,125,25,1,1,1,1,,,1,1,29154.2,29121,0.43148,221.77903999999998,23.898679999999995,4271
maze,baseline_raw,126-150,126,150,25,1,1,1,1,,,1,1,29140.8,29118,0.42324000000000006,219.15711999999996,24.19616,4271
maze,baseline_raw,151-175,151,175,25,1,1,1,1,,,1,1,29088.28,29071,0.43463999999999997,222.7594,24.087600000000002,4271
maze,baseline_raw,176-200,176,200,25,1,1,1,1,,,1,1,29102.76,29106,0.42136,220.72279999999998,24.245919999999998,4271
maze,raw_memory,1-25,1,25,25,1,1,1,1,,,1,1,19714.4,19726,1.1366,226.59632000000005,25.255999999999993,4230.2419199999995
maze,raw_memory,26-50,26,50,25,1,1,1,1,,,1,1,19711.08,19700,1.0792399999999998,227.77084,32.51612,4206.4362
maze,raw_memory,51-75,51,75,25,1,1,1,1,,,1,1,19706.8,19726,1.04572,229.57668,29.551479999999998,4206.04004
maze,raw_memory,76-100,76,100,25,1,1,1,1,,,1,1,19709.36,19704,1.0523200000000001,231.24324000000001,29.1782,4206.39432
maze,raw_memory,101-125,101,125,25,1,1,1,1,,,1,1,19748.36,19737,1.0343999999999998,232.33980000000008,29.053919999999998,4206.268599999999
maze,raw_memory,126-150,126,150,25,1,1,1,1,,,1,1,19740.8,19752,1.0168799999999998,233.55788,29.35228,4206.03432
maze,raw_memory,151-175,151,175,25,1,1,1,1,,,1,1,19773,19751,1.0043600000000001,235.52608,29.185679999999994,4206.215319999999
maze,raw_memory,176-200,176,200,25,1,1,1,1,,,1,1,19774.72,19770,1.04696,237.32347999999993,29.01716,4206.0286
maze,distilled_memory,1-25,1,25,25,1,1,1,1,,,1,1,19734.12,19339,1.60128,235.53135999999998,28.878040000000006,4206.14288
maze,distilled_memory,26-50,26,50,25,1,1,1,1,,,1,1,19327.08,19352,1.75164,235.52128000000005,29.092920000000003,4206.04576
maze,distilled_memory,51-75,51,75,25,1,1,1,1,,,1,1,19340.2,19315,1.8940400000000002,240.614,29.36,4206.14288
maze,distilled_memory,76-100,76,100,25,1,1,1,1,,,1,1,19348.08,19335,1.8144400000000005,240.0216,29.344559999999987,4206.50288
maze,distilled_memory,101-125,101,125,25,1,1,1,1,,,1,1,19362.64,19342,1.6889600000000002,243.42719999999997,28.78016000000001,4206.040319999999
maze,distilled_memory,126-150,126,150,25,1,1,1,1,,,1,1,19384.96,19384,1.60916,239.09636000000006,28.966920000000002,4206.02316
maze,distilled_memory,151-175,151,175,25,1,1,1,1,,,1,1,19406.08,19396,1.53572,236.05751999999993,28.89792,4206.0346
maze,distilled_memory,176-200,176,200,25,1,1,1,1,,,1,1,19396.88,19403,1.57696,225.72931999999994,29.483879999999996,4206.1426
